Label,name,code,region,sub_region,lat,lng,Abb
87,Guam,316,Oceania,Micronesia,13.47,144.78,GUM
88,Guatemala,320,Latin America and the Caribbean,Central America,15.5,-90.25,GTM
89,Guinea,324,Africa,Western Africa,11,-10,GIN
90,Guinea-Bissau,624,Africa,Western Africa,12,-15,GNB
91,Guyana,328,Latin America and the Caribbean,South America,5,-59,GUY
92,Haiti,332,Latin America and the Caribbean,Caribbean,19,-72.42,HTI
93,Holy See,336,Europe,Southern Europe,41.9,12.45,VAT
94,Honduras,340,Latin America and the Caribbean,Central America,15,-86.5,HND
95,Hungary,348,Europe,Eastern Europe,47,20,HUN
96,Iceland,352,Europe,Northern Europe,65,-18,ISL
97,India,356,Asia,Southern Asia,20,77,IND
98,Indonesia,360,Asia,South-Eastern Asia,-5,120,IDN
99,Iran (Islamic Republic of),364,Asia,Southern Asia,32,53,IRN
100,Iraq,368,Asia,Western Asia,33,44,IRQ
101,Ireland,372,Europe,Northern Europe,53,-8,IRL
102,Isle of Man,833,Europe,Northern Europe,54.236107,-4.548056,IMN
103,Israel,376,Asia,Western Asia,31.5,34.75,ISR
104,Italy,380,Europe,Southern Europe,42.83,12.83,ITA
105,Jamaica,388,Latin America and the Caribbean,Caribbean,18.25,-77.5,JAM
106,Japan,392,Asia,Eastern Asia,36,138,JPN
107,Jordan,400,Asia,Western Asia,31,36,JOR
108,Kazakhstan,398,Asia,Central Asia,48,68,KAZ
109,Kenya,404,Africa,Eastern Africa,1,38,KEN
110,Kiribati,296,Oceania,Micronesia,1.42,173,KIR
111,Kuwait,414,Asia,Western Asia,29.34,47.66,KWT
112,Kyrgyzstan,417,Asia,Central Asia,41,75,KGZ
113,Lao People's Democratic Republic,418,Asia,South-Eastern Asia,18,105,LAO
114,Latvia,428,Europe,Northern Europe,57,25,LVA
115,Lebanon,422,Asia,Western Asia,33.83,35.83,LBN
116,Lesotho,426,Africa,Southern Africa,-29.5,28.5,LSO
117,Liberia,430,Africa,Western Africa,6.5,-9.5,LBR
118,Libya,434,Africa,Northern Africa,25,17,LBY
119,Liechtenstein,438,Europe,Western Europe,47.17,9.53,LIE
120,Lithuania,440,Europe,Northern Europe,56,24,LTU
121,Luxembourg,442,Europe,Western Europe,49.75,6.17,LUX
122,Madagascar,450,Africa,Eastern Africa,-20,47,MDG
123,Malawi,454,Africa,Eastern Africa,-13.5,34,MWI
124,Malaysia,458,Asia,South-Eastern Asia,2.5,112.5,MYS
125,Maldives,462,Asia,Southern Asia,3.25,73,MDV
126,Mali,466,Africa,Western Africa,17,-4,MLI
127,Malta,470,Europe,Southern Europe,35.83,14.58,MLT
128,Marshall Islands,584,Oceania,Micronesia,9,168,MHL
129,Martinique,474,Latin America and the Caribbean,Caribbean,14.67,-61,MTQ
130,Mauritania,478,Africa,Western Africa,20,-12,MRT
131,Mauritius,480,Africa,Eastern Africa,-20.28,57.55,MUS
132,Mayotte,175,Africa,Eastern Africa,-12.83,45.17,MYT
133,Mexico,484,Latin America and the Caribbean,Central America,23,-102,MEX
134,Micronesia (Federated States of),583,Oceania,Micronesia,6.92,158.25,FSM
135,Monaco,492,Europe,Western Europe,43.73,7.4,MCO
136,Mongolia,496,Asia,Eastern Asia,46,105,MNG
137,Montenegro,499,Europe,Southern Europe,42,19,MNE
138,Montserrat,500,Latin America and the Caribbean,Caribbean,16.75,-62.2,MSR
139,Morocco,504,Africa,Northern Africa,32,-5,MAR
140,Mozambique,508,Africa,Eastern Africa,-18.25,35,MOZ
141,Myanmar,104,Asia,South-Eastern Asia,22,98,MMR
142,Namibia,516,Africa,Southern Africa,-22,17,NAM
143,Nauru,520,Oceania,Micronesia,-0.53,166.92,NRU
144,Nepal,524,Asia,Southern Asia,28,84,NPL
145,Netherlands,528,Europe,Western Europe,52.5,5.75,NLD
146,New Caledonia,540,Oceania,Melanesia,-21.5,165.5,NCL
