source,target,migration_1995_total,migration_1995_male,migration_1995_female,migration_2000_total,migration_2000_male,migration_2000_female,migration_2005_total,migration_2005_male,migration_2005_female,migration_2010_total,migration_2010_male,migration_2010_female,migration_2015_total,migration_2015_male,migration_2015_female
1,199,55,29,26,26,13,13,317,181,136,590,356,234,880,498,382
1,218,1025,657,368,1046,669,377,5124,3237,1887,5724,3642,2082,1613,951,662
1,52,83,41,42,74,37,37,10,1,9,9,1,8,1,0,1
1,83,166255,95772,70483,170035,96393,73642,23345,903,22442,23344,903,22441,17548,13567,3981
1,104,114737,57257,57480,114736,57257,57479,86551,43840,42711,86551,43840,42711,7642,3783,3859
1,127,3,1,2,29,12,17,28,9,19,10,3,7,18,10,8
1,137,0,0,0,0,0,0,0,0,0,2015,829,1186,739,314,425
1,163,13,8,5,16,10,6,5,1,4,3,2,1,5,1,4
1,178,3,1,2,3,0,3,5,2,3,2,1,1,7,4,3
1,182,307,64,243,131,19,112,6,5,1,11,3,8,11,3,8
1,188,36,24,12,38,24,14,43,39,4,58,32,26,48,33,15
1,193,197,107,90,353,193,160,382,233,149,713,428,285,131,6,125
1,204,13008,5423,7585,11358,4735,6623,415,160,255,2102,827,1275,2431,335,2096
1,12,222,126,96,222,127,95,257,103,154,256,103,153,457,234,223
1,19,9,6,3,48,23,25,772,406,366,1796,901,895,3643,1997,1646
1,74,110,33,77,110,34,76,2136,1091,1045,442,226,216,506,255,251
1,80,3092,919,2173,3091,918,2173,3024,1253,1771,3024,1254,1770,601,303,298
1,121,15,8,7,11,7,4,35,11,24,32,10,22,104,63,41
1,145,86,48,38,95,51,44,304,140,164,231,140,91,295,118,177
1,200,143,80,63,142,77,65,188,62,126,217,1,216,299,206,93
1,53,58,35,23,59,36,23,0,0,0,11,5,6,11,5,6
1,50,2,1,1,1,1,0,1,1,0,2,2,0,0,0,0
1,8,4,2,2,4,1,3,37,22,15,37,22,15,0,0,0
1,24,3,0,3,3,0,3,1,0,1,0,0,0,0,0,0
1,42,1,0,1,1,1,0,5,1,4,5,0,5,10,4,6
1,46,7,6,1,7,6,1,4,3,1,3,0,3,3,2,1
1,63,11,6,5,11,6,5,5,3,2,14,7,7,22,12,10
1,225,1,1,0,0,0,0,0,0,0,2,1,1,1,0,1
1,37,2865,1381,1484,2942,1419,1523,3437,1842,1595,4017,2146,1871,1606,816,790
1,220,16074,9313,6761,16962,9854,7108,14602,8563,6039,15256,5449,9807,12675,3348,9327
1,11,331,122,209,255,77,178,730,340,390,630,270,360,404,194,210
1,68,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0
2,77,7,4,3,11,7,4,5,3,2,8,4,4,6,3,3
2,64,30,6,24,75,20,55,123,72,51,61,2,59,221,33,188
2,118,528,349,179,563,392,171,528,398,130,274,173,101,405,214,191
2,139,759,462,297,448,163,285,226,52,174,1087,525,562,3474,1717,1757
2,210,144,28,116,3702,1807,1895,390,145,245,1509,765,744,2375,1240,1135
2,228,4,2,2,5,3,2,9,5,4,9,5,4,10,6,4
2,142,32,13,19,47,21,26,134,65,69,19,8,11,41,18,23
2,191,115,60,55,47,18,29,36,26,10,133,99,34,102,77,25
2,81,0,0,0,1,1,0,3,2,1,0,0,0,2,1,1
2,126,127,27,100,65,9,56,1706,774,932,1731,783,948,314,138,176
2,130,139,119,20,142,97,45,49,31,18,27,20,7,13,10,3
2,149,71,39,32,74,39,35,8,3,5,8,2,6,18,12,6
2,181,158,42,116,347,222,125,248,163,85,417,256,161,110,42,68
2,202,38,17,21,22,9,13,5,2,3,3,1,2,4,3,1
2,161,209,125,84,45,40,5,55,28,27,32,22,10,8,5,3
2,55,4,2,2,3,1,2,8,4,4,14,7,7,1,0,1
2,103,5970,2595,3375,4542,2083,2459,6894,3166,3728,7342,3332,4010,1388,518,870
