,1995,2000,2005,2010,2015,name,EI-1995,EI-2000,EI-2005,EI-2010,EI-2015
97,6,1,11,0,0,IND,0.5143370391742293,0.41378059004948947,0.4801262185756749,0.6578465048514384,0.6971120625902095
74,1,2,2,1,1,FRA,0.5690394158559625,0.5632116762030148,0.6193119903295702,0.6389799253584034,0.626266208669722
220,10,7,4,2,2,USA,0.8202054579102441,0.6766945432315,0.622282544876217,0.6943242733158141,0.664489618936538
218,10,5,10,3,4,GBR,0.8202054579102441,0.6511680879363552,0.4101536728587798,0.5608450548673483,0.6773096540534044
170,2,6,8,1,5,RUS,0.6258612385851476,0.6377634692350312,0.6154274574491295,0.6389799253584034,0.43464942302308673
201,6,1,1,7,6,SYR,0.5143370391742293,0.41378059004948947,0.5271322347184937,0.293991820938274,0.8059457980382296
203,8,4,6,8,7,THA,0.6720202807851777,0.7275213500151211,0.41516256030193044,0.7414951073131918,0.7585885140058398
192,9,9,9,5,3,SSD,0.7552097478841312,0.5345416027012625,0.6449108165661638,0.6061074439007099,0.5283619120439356
