Label,name,code,region,sub_region,_pos,lat,lng,Abb
221,United States Virgin Islands,850,Latin America and the Caribbean,Caribbean,"array([1.62002091, 2.01975904])",18.335765,-64.896335,VIR
222,Uruguay,858,Latin America and the Caribbean,South America,"array([1.71043192, 1.92204375])",-32.522779,-55.765835,URY
223,Uzbekistan,860,Asia,Central Asia,"array([1.75435082, 1.84513691])",41.377491,64.585262,UZB
224,Vanuatu,548,Oceania,Melanesia,"array([1.91927484, 2.12610019])",-15.376706,166.959158,VUT
225,Venezuela (Bolivarian Republic of),862,Latin America and the Caribbean,South America,"array([1.77085992, 1.97756735])",6.42375,-66.58973,VEN
226,Viet Nam,704,Asia,South-Eastern Asia,"array([1.80866105, 2.06338986])",14.058324,108.277199,VNM
227,Wallis and Futuna Islands,876,Oceania,Polynesia,"array([1.79672158, 2.22175723])",-13.768752,-177.156097,WLF
228,Western Sahara,732,Africa,Northern Africa,"array([2.01706011, 1.86488782])",24.215527,-12.885834,ESH
229,Yemen,887,Asia,Western Asia,"array([1.92891113, 1.97069976])",15.552727,48.516388,YEM
230,Zambia,894,Africa,Eastern Africa,"array([1.94272176, 1.93080904])",-13.133897,27.849332,ZMB
231,Zimbabwe,716,Africa,Eastern Africa,"array([1.81745367, 1.87408624])",-19.015438,29.154857,ZWE
